date,building_id,site_id,energy_kwh,outdoor_temp,humidity,season,possibility_of_rain
2023-09-25,B1,S7,2.4175476,20.23,29.53,Spring,False
2023-09-26,B1,S2,2.8876463999999995,39.72,88.08,Spring,True
2023-09-27,B1,S1,2.7783827999999997,35.19,22.7,Spring,False
2023-09-28,B1,S6,2.9976335999999995,44.28,14.58,Spring,True
2023-09-29,B1,S8,2.4030755999999998,19.63,72.68,Spring,False
2023-09-30,B1,S9,2.2947767999999997,15.14,78.01,Spring,False
2023-10-01,B1,S7,2.7405144,33.62,39.04,Spring,True
2023-10-02,B1,S9,2.637039599999999,29.33,50.77,Spring,True
2023-10-03,B1,S8,2.1635639999999996,9.7,57.41,Spring,False
2023-10-04,B1,S7,2.9985983999999997,44.32,29.47,Spring,False
2023-10-05,B1,S9,2.5446599999999995,25.5,63.71,Spring,False
2023-10-06,B1,S2,2.3357807999999998,16.84,70.01,Spring,True
2023-10-07,B1,S9,2.9223791999999995,41.16,69.92,Spring,False
2023-10-08,B1,S3,2.2050503999999997,11.42,21.17,Spring,False
2023-10-09,B1,S6,2.9402279999999994,41.9,80.75,Spring,False
2023-10-10,B1,S6,2.4768827999999994,22.69,39.05,Spring,True
2023-10-11,B1,S10,2.4402204,21.17,65.96,Spring,False
2023-10-12,B1,S9,2.6920332,31.61,37.24,Spring,False
2023-10-13,B1,S10,2.4911136,23.28,78.66,Spring,False
2023-10-14,B1,S7,2.4696468,22.39,44.71,Spring,False
2023-10-15,B1,S10,2.1269015999999996,8.18,61.06,Spring,True
2023-10-16,B1,S6,2.1401676,8.73,47.74,Spring,False
2023-10-17,B1,S1,2.3027363999999997,15.47,31.62,Spring,True
2023-10-18,B1,S5,2.9952216,44.18,33.68,Spring,False
2023-10-19,B1,S5,2.8685916,38.93,39.79,Spring,True
2023-10-20,B1,S2,2.8027439999999992,36.2,80.76,Spring,False
2023-10-21,B1,S5,2.4462503999999994,21.42,80.69,Spring,True
2023-10-22,B1,S2,2.1802067999999997,10.39,65.2,Spring,False
2023-10-23,B1,S9,2.5190927999999997,24.44,87.79,Spring,False
2023-10-24,B1,S2,2.8705211999999998,39.01,78.14,Spring,True
2023-10-25,B1,S5,3.003181199999999,44.51,81.96,Spring,False
2023-10-26,B1,S2,2.4194771999999993,20.31,20.27,Spring,False
2023-10-27,B1,S6,2.3478407999999997,17.34,71.78,Spring,False
2023-10-28,B1,S10,2.7641519999999993,34.6,61.66,Spring,False
2023-10-29,B1,S2,2.2289291999999996,12.41,21.2,Spring,False
2023-10-30,B1,S6,2.5398359999999993,25.3,87.64,Spring,False
2023-10-31,B1,S5,2.2137336,11.78,74.12,Spring,False
2023-11-01,B1,S5,2.2048091999999997,11.41,36.06,Spring,False
2023-11-02,B1,S6,2.9269619999999996,41.35,41.32,Spring,False
2023-11-03,B1,S9,2.9397455999999997,41.88,28.64,Spring,False
